feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
PUB-000176,5,V4_C5,0,C0
PUB-000177,5,V4_C5,0,C0
PUB-000178,4,V4_C4,6,C2
PUB-000179,3,V4_C3,8,C3.1
PUB-000180,3,V4_C3,8,C3.1
PUB-000181,3,V4_C3,7,C3.0
PUB-000182,3,V4_C3,7,C3.0
PUB-000183,5,V4_C5,0,C0
PUB-000184,4,V4_C4,6,C2
PUB-000185,5,V4_C5,0,C0
PUB-000186,5,V4_C5,0,C0
PUB-000187,5,V4_C5,0,C0
PUB-000188,3,V4_C3,8,C3.1
PUB-000189,4,V4_C4,6,C2
PUB-000190,5,V4_C5,0,C0
PUB-000191,5,V4_C5,0,C0
PUB-000192,4,V4_C4,6,C2
PUB-000193,4,V4_C4,6,C2
PUB-000194,3,V4_C3,8,C3.1
PUB-000195,5,V4_C5,0,C0
PUB-000196,5,V4_C5,0,C0
PUB-000197,4,V4_C4,6,C2
PUB-000198,3,V4_C3,8,C3.1
PUB-000199,5,V4_C5,0,C0
PUB-000200,4,V4_C4,6,C2
PUB-000201,4,V4_C4,6,C2
PUB-000202,3,V4_C3,8,C3.1
PUB-000203,4,V4_C4,6,C2
PUB-000204,5,V4_C5,0,C0
PUB-000205,5,V4_C5,0,C0
PUB-000206,4,V4_C4,6,C2
PUB-000207,5,V4_C5,0,C0
PUB-000208,5,V4_C5,0,C0
PUB-000209,4,V4_C4,6,C2
PUB-000210,5,V4_C5,0,C0
PUB-000211,4,V4_C4,6,C2
PUB-000212,5,V4_C5,0,C0
PUB-000213,4,V4_C4,6,C2
PUB-000214,5,V4_C5,0,C0
PUB-000215,4,V4_C4,6,C2
PUB-000216,5,V4_C5,0,C0
PUB-000217,4,V4_C4,6,C2
PUB-000218,4,V4_C4,6,C2
PUB-000219,4,V4_C4,6,C2
PUB-000220,5,V4_C5,0,C0
PUB-000221,5,V4_C5,0,C0
PUB-000222,3,V4_C3,7,C3.0
PUB-000223,5,V4_C5,0,C0
PUB-000224,4,V4_C4,6,C2
PUB-000225,5,V4_C5,0,C0
PUB-000226,4,V4_C4,6,C2
PUB-000227,3,V4_C3,8,C3.1
PUB-000228,5,V4_C5,0,C0
PUB-000229,5,V4_C5,0,C0
PUB-000230,5,V4_C5,0,C0
PUB-000231,4,V4_C4,6,C2
PUB-000232,4,V4_C4,6,C2
PUB-000233,3,V4_C3,7,C3.0
PUB-000234,3,V4_C3,8,C3.1
PUB-000235,5,V4_C5,0,C0
PUB-000236,3,V4_C3,8,C3.1
PUB-000237,4,V4_C4,6,C2
PUB-000238,3,V4_C3,8,C3.1
PUB-000239,5,V4_C5,0,C0
PUB-000240,4,V4_C4,6,C2
PUB-000241,4,V4_C4,6,C2
PUB-000242,4,V4_C4,6,C2
PUB-000243,4,V4_C4,6,C2
PUB-000244,3,V4_C3,8,C3.1
PUB-000245,5,V4_C5,0,C0
PUB-000246,4,V4_C4,6,C2
PUB-000247,5,V4_C5,0,C0
PUB-000248,5,V4_C5,0,C0
PUB-000249,4,V4_C4,6,C2
PUB-000250,5,V4_C5,0,C0
PUB-000251,3,V4_C3,7,C3.0
PUB-000252,4,V4_C4,6,C2
PUB-000253,5,V4_C5,0,C0
PUB-000254,4,V4_C4,6,C2
PUB-000255,4,V4_C4,6,C2
PUB-000256,5,V4_C5,0,C0
PUB-000257,4,V4_C4,6,C2
PUB-000258,3,V4_C3,8,C3.1
PUB-000259,4,V4_C4,6,C2
PUB-000260,5,V4_C5,0,C0
PUB-000261,5,V4_C5,0,C0
PUB-000262,4,V4_C4,6,C2
PUB-000263,3,V4_C3,8,C3.1
PUB-000264,5,V4_C5,0,C0
PUB-000265,5,V4_C5,0,C0
PUB-000266,5,V4_C5,0,C0
PUB-000267,3,V4_C3,8,C3.1
PUB-000268,4,V4_C4,6,C2
PUB-000269,4,V4_C4,6,C2
PUB-000270,4,V4_C4,6,C2
PUB-000271,4,V4_C4,6,C2
PUB-000272,4,V4_C4,6,C2
PUB-000273,4,V4_C4,6,C2
PUB-000274,4,V4_C4,6,C2
PUB-000275,5,V4_C5,0,C0
PUB-000276,4,V4_C4,6,C2
PUB-000277,5,V4_C5,0,C0
PUB-000278,3,V4_C3,8,C3.1
PUB-000279,5,V4_C5,0,C0
PUB-000280,5,V4_C5,0,C0
PUB-000281,5,V4_C5,0,C0
PUB-000282,5,V4_C5,0,C0
PUB-000283,5,V4_C5,0,C0
PUB-000284,4,V4_C4,6,C2
PUB-000285,5,V4_C5,0,C0
PUB-000286,5,V4_C5,0,C0
PUB-000287,5,V4_C5,0,C0
PUB-000288,5,V4_C5,0,C0
PUB-000289,5,V4_C5,0,C0
PUB-000290,5,V4_C5,0,C0
PUB-000291,4,V4_C4,6,C2
PUB-000292,3,V4_C3,7,C3.0
PUB-000293,5,V4_C5,0,C0
PUB-000294,5,V4_C5,0,C0
PUB-000295,4,V4_C4,6,C2
PUB-000296,3,V4_C3,8,C3.1
PUB-000297,4,V4_C4,6,C2
PUB-000298,3,V4_C3,8,C3.1
PUB-000299,3,V4_C3,7,C3.0
PUB-000300,5,V4_C5,0,C0
PUB-000301,4,V4_C4,6,C2
PUB-000302,5,V4_C5,0,C0
PUB-000303,4,V4_C4,6,C2
PUB-000304,4,V4_C4,6,C2
PUB-000305,3,V4_C3,7,C3.0
